"taxonTypeCode","taxonID","acceptedTaxonID","scientificName","scientificNameAuthorship","taxonRank","vernacularName","taxonProtocolCategory","nameAccordingToID","nameAccordingToTitle","kingdom","subkingdom","infrakingdom","superdivision","division","subdivision","infradivision","parvdivision","superphylum","phylum","subphylum","infraphylum","superclass","class","subclass","infraclass","superorder","order","suborder","infraorder","section","subsection","superfamily","family","subfamily","tribe","subtribe","genus","subgenus","species","subspecies","variety","subvariety","form","subform","race","stirp","morph","abberation","unspecified","speciesGroup","specificEpithet","infraspecificEpithet"
"BEETLE","AGOALB","AGOALB","Agonum albicrus","Dejean","species","","target","isbn: 3933896061 9783933896063","Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Platynini","","Agonum","Olisares","","","","","","","","","","","","","albicrus",""
"BEETLE","AGOANC","AGOANC","Agonum anchomenoides","Randall","species","","target","isbn: 3933896061 9783933896063","Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Platynini","","Agonum","Europhilus","","","","","","","","","","","","","anchomenoides",""
"BEETLE","AGOANT","AGOANT","Agonum anthracinum","Dejean","species","","target","isbn: 3933896061 9783933896063","Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Platynini","","Agonum","Olisares","","","","","","","","","","","","","anthracinum",""
"BEETLE","AGOBAS","AGOBAS","Agonum basale","LeConte","species","","target","isbn: 3933896061 9783933896063","Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Platynini","","Agonum","Olisares","","","","","","","","","","","","","basale",""
"BEETLE","AGOBEL","AGOBEL","Agonum belleri","Hatch","species","","target","isbn: 3933896061 9783933896063","Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Platynini","","Agonum","Olisares","","","","","","","","","","","","","belleri",""
"BEETLE","AGOBIC","AGOBIC","Agonum bicolor","Dejean","species","","target","doi: 10.3897/zookeys.245.3416","Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Platynini","","Agonum","Agonum","","","","","","","","","","","","","bicolor",""
"BEETLE","AGOBRE","AGOBRE","Agonum brevicolle","Dejean","species","","target","isbn: 3933896061 9783933896063","Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Platynini","","Agonum","Olisares","","","","","","","","","","","","melanarium","brevicolle",""
"BEETLE","AGOCAN","AGOCAN","Agonum canadense","Goulet","species","","target","isbn: 3933896061 9783933896063","Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Platynini","","Agonum","Europhilus","","","","","","","","","","","","","canadense",""
"BEETLE","AGOCOL","AGOCOL","Agonum collare","Say","species","","target","isbn: 3933896061 9783933896063","Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Platynini","","Agonum","Olisares","","","","","","","","","","","","melanarium","collare",""
"BEETLE","AGOCON","AGOCON","Agonoleptus conjunctus","Say","species","","target","doi: 10.3897/zookeys.245.3416","Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.","Animalia","","","","","","","","","Arthropoda","","","","Insecta","","","","Coleoptera","","","","","","Carabidae","Harpalinae","Harpalini","","Agonoleptus","","","","","","","","","","","","","conjunctus","conjunctus",""
