taxonID,acceptedTaxonID,scientificName,scientificNameAuthorship,taxonRank,nameAccordingToID,nameAccordingToTitle,order,family,subfamily,tribe,genus,subgenus,speciesGroup,specificEpithet,infraspecificEpithet
TACOAH,TACOAH,Tachys oahuensis,Blackburn,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachys,Tachys,NA,oahuensis,NA
TACOBL,TACOBL,Tachys oblitus,Casey,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachys,Paratachys,NA,oblitus,NA
TACPAL,TACPAL,Tachys pallidus,Chaudoir,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachys,Tachys,NA,pallidus,NA
TACPAR,TACPAR,Tachyta parvicornis,Notman,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachyta,Tachyta,NA,parvicornis,NA
TACPIC,TACPIC,Tachys piceolus,LaFerte-Senectere,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachys,Paratachys,NA,piceolus,NA
TACPOT,TACPOT,Tachys potomaca,Erwin,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachys,Paratachys,NA,potomaca,NA
TACPOT1,TACPOT,Tachys potomacus,NA,species,isbn: 978-0-8248-2356-6,"Liebherr, J. K., and E. C. Zimmerman. 2000. Insects of Hawaii, Volume 16: Coleoptera: Carabidae: Part 1: Introduction and Tribe Platynini. Page 488. University of Hawaii Press.",Coleoptera,Carabidae,NA,NA,Tachys,NA,NA,potomacus,NA
TACPRO,TACPRO,Tachys proximus,Say,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachys,Paratachys,NA,proximus,NA
TACPUL,TACPUL,Tachys pulchellus,LaFerte-Senectere,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachys,Tachys,NA,pulchellus,NA
TACPUM,TACPUM,Tachys pumilus,Dejean,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachys,Paratachys,NA,pumilus,NA
TACREC,TACREC,Tachys rectangulus,Notman,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachys,Paratachys,NA,rectangulus,NA
TACRHO,TACRHO,Tachys rhodeanus,Casey,species,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Carabidae,Trechinae,Bembidiini,Tachys,Paratachys,NA,rhodeanus,NA
TACRUF,POLRUF,Tachys rufotestaceus,NA,species,doi: 10.3897/zookeys.245.3416,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera: Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",Coleoptera,Carabidae,NA,NA,Tachys,NA,NA,rufotestaceus,NA
